t,value
1585418128,0
1585418131,0
1585418134,0
1585418137,0
1585418140,0
1585418143,0
1585418146,0
1585418149,0
1585418152,0
1585418155,0
1585418158,0
1585418161,0
1585418164,0
1585418167,0
1585418170,0
1585418173,0
1585418176,0
1585418179,0
1585418182,0
1585418185,0
1585418188,0
1585418191,0
1585418194,0
1585418197,0
1585418200,0
1585418203,0
1585418206,0
1585418209,0
1585418212,0
1585418215,0
1585418218,0
1585418221,0
1585418224,0
1585418227,0
1585418230,0
1585418233,0
1585418236,0
1585418239,0
1585418242,0
1585418245,0
1585418248,0
1585418251,0
1585418254,0
1585418257,0
1585418260,0
1585418263,0
1585418266,0
1585418269,0
1585418272,0
1585418275,0
1585418278,0
1585418281,0
1585418284,0
1585418287,0
1585418290,0
1585418293,0
1585418296,0
1585418299,0
1585418302,0
1585418305,0
1585418308,0
1585418311,0
1585418314,0
1585418317,0
1585418320,0
1585418323,0
1585418326,0
1585418329,0
1585418332,0
1585418335,0
1585418338,0
1585418341,0
1585418344,0
1585418347,0
1585418350,0
1585418353,0
1585418356,0
1585418359,0
1585418362,0
1585418365,0
1585418368,0
1585418371,0
1585418374,0
1585418377,0
1585418380,0
1585418383,0
1585418386,0
1585418389,0
1585418392,0
1585418395,0
1585418398,0
1585418401,0
1585418404,0
1585418407,0
1585418410,0
1585418413,0
1585418416,0
1585418419,0
1585418422,0
1585418425,0
1585418428,0
1585418431,0
1585418434,0
1585418437,0
1585418440,0
1585418443,0
1585418446,0
1585418449,0
1585418452,0
1585418455,0
1585418458,0
1585418461,0
1585418464,0
1585418467,0
1585418470,0
1585418473,0
1585418476,0
1585418479,0
1585418482,0
1585418485,0
1585418488,0
1585418491,0
1585418494,0
1585418497,0
1585418500,0
1585418503,0
1585418506,0
1585418509,0
1585418512,0
1585418515,0
1585418518,0
1585418521,0
1585418524,0
1585418527,0
1585418530,0
1585418533,0
1585418536,0
1585418539,0
1585418542,0
1585418545,0
1585418548,0
1585418551,0
1585418554,0
1585418557,0
1585418560,0
1585418563,0
1585418566,0
1585418569,0
1585418572,0
1585418575,0
1585418578,0
1585418581,0
1585418584,0
1585418587,0
1585418590,0
1585418593,0
1585418596,0
1585418599,0
1585418602,0
1585418605,0
1585418608,0
1585418611,0
1585418614,0
1585418617,0
1585418620,0
1585418623,0
1585418626,0
1585418629,0
1585418632,0
1585418635,0
1585418638,0
1585418641,0
1585418644,0
1585418647,0
1585418650,0
1585418653,0
1585418656,0
1585418659,0
1585418662,0
1585418665,0
1585418668,0
1585418671,0
1585418674,0
1585418677,0
1585418680,0
1585418683,0
1585418686,0
1585418689,0
1585418692,0
1585418695,0
1585418698,0
1585418701,0
1585418704,0
1585418707,0
1585418710,0
1585418713,0
1585418716,0
1585418719,0
1585418722,0
1585418725,0
1585418728,0
1585418731,0
1585418734,0
1585418737,0
1585418740,0
1585418743,0
1585418746,0
1585418749,0
1585418752,0
1585418755,0
1585418758,0
1585418761,0
1585418764,0
1585418767,0
1585418770,0
1585418773,0
1585418776,0
1585418779,0
1585418782,0
1585418785,0
1585418788,0
1585418791,0
1585418794,0
1585418797,0
1585418800,0
1585418803,0
1585418806,0
1585418809,0
1585418812,0
1585418815,0
1585418818,0
1585418821,0
1585418824,0
1585418827,0
1585418830,0
1585418833,0
1585418836,0
1585418839,0
1585418842,0
1585418845,0
1585418848,0
1585418851,0
1585418854,0
1585418857,0
1585418860,0
1585418863,0
1585418866,0
1585418869,0
1585418872,0
1585418875,0
1585418878,0
1585418881,0
1585418884,0
1585418887,0
1585418890,0
1585418893,0
1585418896,0
1585418899,0
1585418902,0
1585418905,0
1585418908,0
1585418911,0
1585418914,0
1585418917,0
1585418920,0
1585418923,0
1585418926,0
1585418929,0
1585418932,0
1585418935,0
1585418938,0
1585418941,0
1585418944,0
1585418947,0
1585418950,0
1585418953,0
1585418956,0
1585418959,0
1585418962,0
1585418965,0
1585418968,0
1585418971,0
1585418974,0
1585418977,0
1585418980,0
1585418983,0
1585418986,0
1585418989,0
1585418992,0
1585418995,0
1585418998,0
1585419001,0
1585419004,0
1585419007,0
1585419010,0
1585419013,0
1585419016,0
1585419019,0
1585419022,0
1585419025,0
1585419028,0
1585419031,0
1585419034,0
1585419037,0
1585419040,0
1585419043,0
1585419046,0
1585419049,0
1585419052,0
1585419055,0
1585419058,0
1585419061,0
1585419064,0
1585419067,0
1585419070,0
1585419073,0
1585419076,0
1585419079,0
1585419082,0
1585419085,0
1585419088,0
1585419091,0
1585419094,0
1585419097,0
1585419100,0
1585419103,0
1585419106,0
1585419109,0
1585419112,0
1585419115,0
1585419118,0
1585419121,0
1585419124,0
1585419127,0
1585419130,0
1585419133,0
1585419136,0
1585419139,0
1585419142,0
1585419145,0
1585419148,0
1585419151,0
1585419154,0
1585419157,0
1585419160,0
1585419163,0
1585419166,0
1585419169,0
1585419172,0
1585419175,0
1585419178,0
1585419181,0
1585419184,0
1585419187,0
1585419190,0
1585419193,0
1585419196,0
1585419199,0
1585419202,0
1585419205,0
1585419208,0
1585419211,0
1585419214,0
1585419217,0
1585419220,0
1585419223,0
1585419226,0
1585419229,0
1585419232,0
1585419235,0
1585419238,0
1585419241,0
1585419244,0
1585419247,0
1585419250,0
1585419253,0
1585419256,0
1585419259,0
1585419262,0
1585419265,0
1585419268,0
1585419271,0
1585419274,0
1585419277,0
1585419280,0
1585419283,0
1585419286,0
1585419289,0
1585419292,0
1585419295,0
1585419298,0
1585419301,0
1585419304,0
1585419307,0
1585419310,0
1585419313,0
1585419316,0
1585419319,0
1585419322,0
1585419325,0
1585419328,0
1585419331,0
1585419334,0
1585419337,0
1585419340,0
1585419343,0
1585419346,0
1585419349,0
1585419352,2311
1585419355,2311
1585419358,2311
1585419361,2311
1585419364,2311
1585419367,2311
1585419370,2311
1585419373,2311
1585419376,2311
1585419379,2311
1585419382,2311
1585419385,2311
1585419388,2311
1585419391,2311
1585419394,2311
1585419397,2311
1585419400,2311
1585419403,2311
1585419406,2311
1585419409,2311
1585419412,2311
1585419415,2311
1585419418,2311
1585419421,2311
1585419424,2311
1585419427,2311
1585419430,2311
1585419433,2311
1585419436,2311
1585419439,2311
1585419442,2311
1585419445,2311
1585419448,2311
1585419451,2311
1585419454,2311
1585419457,2311
1585419460,2311
1585419463,2311
1585419466,2311
1585419469,2311
1585419472,2311
1585419475,2311
1585419478,2311
1585419481,2311
1585419484,2311
1585419487,2311
1585419490,2311
1585419493,2311
1585419496,2311
1585419499,2311
1585419502,2311
1585419505,2311
1585419508,2311
1585419511,2311
1585419514,2311
1585419517,2311
1585419520,2311
1585419523,2311
1585419526,2311
1585419529,2311
1585419532,2311
1585419535,2311
1585419538,2311
1585419541,2311
1585419544,2311
1585419547,2311
1585419550,2311
1585419553,2311
1585419556,2311
1585419559,2311
1585419562,2311
1585419565,2311
1585419568,2311
1585419571,2311
1585419574,2311
1585419577,2311
1585419580,2311
1585419583,2311
1585419586,2311
1585419589,2311
1585419592,2311
1585419595,2311
1585419598,2311
1585419601,2311
1585419604,2311
1585419607,2311
1585419610,2311
1585419613,2311
1585419616,2311
1585419619,2311
1585419622,2311
1585419625,2311
1585419628,2311
1585419631,2311
1585419634,2311
1585419637,2311
1585419640,2311
1585419643,2311
1585419646,2311
1585419649,2311
1585419652,2311
1585419655,2311
1585419658,2311
1585419661,2311
1585419664,2311
